"code_id","code_name","subcat4_name","subcat3_name","subcat2_name","subcat1_name","catcode_name","code_item","code_description"
67,"IC Concern","Impact Character","Thematic Points",,"Story Points","dramatica",,"the Impact Character's primary objective or purpose"
68,"IC Issue","Impact Character","Thematic Points",,"Story Points","dramatica",,"the area of the Impact Character's greatest impact"
69,"IC Counterpoint","Impact Character","Thematic Points",,"Story Points","dramatica",,"the thematic comparison of the Impact Character's impact"
70,"IC Thematic Conflict","Impact Character","Thematic Points",,"Story Points","dramatica",,"the thematic comparison of the Impact Character's impact as it balances an unchosen item against an unchosen item"
71,"IC Problem","Impact Character","Thematic Points",,"Story Points","dramatica",,"the nature of the Impact Character's drive"
72,"IC Solution","Impact Character","Thematic Points",,"Story Points","dramatica",,"the item, event, or process needed to truly satisfy the Impact Character's drive"
73,"IC Symptom","Impact Character","Thematic Points",,"Story Points","dramatica",,"the area in which the Impact Character believes the problem can be"
74,"IC Response","Impact Character","Thematic Points",,"Story Points","dramatica",,"the Impact Character's point of attack"
75,"IC Benchmark","Impact Character","Thematic Points",,"Story Points","dramatica",,"the standard by which the Impact Character's impact is measured"
76,"IC Unique Ability","Impact Character","Thematic Points",,"Story Points","dramatica",,"the quality that makes the Impact Character uniquely qualified to pressure the Main Character to change her nature"
77,"IC Critical Flaw","Impact Character","Thematic Points",,"Story Points","dramatica",,"the quality that inhibits or undermines the Impact Character's impact"
78,"M/I  Throughlign","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the general area of difficulty between the Main Character and the Impact Character"
79,"M/I Concern","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the topic of contention between the Main Character and the Impact Character"
80,"M/I Issue","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the Main vs. Impact Story's thematic focus"
81,"M/I Counterpoint","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the Main vs. Impact Story's thematic comparison"
82,"M/I Thematic Conflict","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the Main vs. Impact Story's thematic comparison as it balances an unchosen item against an unchosen item"
83,"M/I Problem","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the underlying cause of the difficulties between the Main Character and the Impact Character"
84,"M/I Solution","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the specific element that can resolve the difficulties between the Main Character and the Impact Character"
85,"M/I Symptom","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the area in whic the Main Character and the Impact Character's attention is concentrated"
86,"M/I Response","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the nature of growth in the relationship between the Main Character and the Impact Character"
87,"M/I Benchmark","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the standard by which growth between the Main Character and the Impact Character is measured"
88,"M/I Catalyst","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the type of interaction that increases conflict between the Main Character and the Impact Character"
89,"M/I Inhibitor","Main vs. Impact Story Throughline","Thematic Points",,"Story Points","dramatica",,"the type of interaction that decreases conflict between the Main Character and the Impact Character"
90,"Goal","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the central ""objecive"" of the Overall Story"
91,"Consequences","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the result of failing to achieve the goal"
92,"Cost","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the prices that must be paid on the way to the goal"
93,"Dividend","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the benefits enjoyed on the way to the goal"
94,"Requirements","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the necessary precursos to achieving the goal"
95,"Prerequisites","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the steps or items needed to meet the requirements"
96,"Preconditions","Central Plot Points","Plot Points",,"Story Points","dramatica",,"restrtictions imposed on the effort to reach the goal"
97,"Forewarnings","Central Plot Points","Plot Points",,"Story Points","dramatica",,"the foreshadowing events that indicate the approach of the consequences"
98,"OS Signpost 1","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns dominating Act 1"
99,"OS Journey 1","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"as the Overall Story continues through Act 1 it grows from a concern with an unchosen item into a concer with an unchosen item"
100,"OS Signpost 2","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns dominating Act 2"
101,"OS Journey 2","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"as the Overall Story continues through Act 2 it grows from a concern with an unchosen item into a concer with an unchosen item"
102,"OS Signpost 3","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns dominating Act 3"
103,"OS Journey 3","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"as the Overall Story continues through Act 3 it grows from a concern with an unchosen item into a concer with an unchosen item"
104,"OS Signpost 4","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns dominating Act 4"
105,"OS Journey 4","Overall Story Type Order","Plot Points",,"Story Points","dramatica",,"as the Overall Story continues through Act 4 it grows from a concern with an unchosen item into a concer with an unchosen item"
106,"MC Signpost 1","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Main Character in Act 1"
107,"MC Journey 1","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Main Character continues through Act 1 she grows from a concern with an unchosen item into a concer with an unchosen item"
108,"MC Signpost 2","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Main Character in Act 2"
109,"MC Journey 2","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Main Character continues through Act 2 she grows from a concern with an unchosen item into a concer with an unchosen item"
110,"MC Signpost 3","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Main Character in Act 3"
111,"MC Journey 3","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Main Character continues through Act 3 she grows from a concern with an unchosen item into a concer with an unchosen item"
112,"MC Signpost 4","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Main Character in Act 4"
113,"MC Journey 4","Main Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Main Character continues through Act 4 she grows from a concern with an unchosen item into a concer with an unchosen item"
114,"IC Signpost 1","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Impact Character in Act 1"
115,"IC Journey 1","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Impact Character continues through Act 1 she grows from a concern with an unchosen item into a concer with an unchosen item"
116,"IC Signpost 2","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Impact Character in Act 2"
117,"IC Journey 2","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Impact Character continues through Act 2 she grows from a concern with an unchosen item into a concer with an unchosen item"
118,"IC Signpost 3","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Impact Character in Act 3"
119,"IC Journey 3","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Impact Character continues through Act 3 she grows from a concern with an unchosen item into a concer with an unchosen item"
120,"IC Signpost 4","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"the kind of activities or concerns occupying the Impact Character in Act 4"
121,"IC Journey 4","Impact Character Type Order","Plot Points",,"Story Points","dramatica",,"as the Impact Character continues through Act 4 she grows from a concern with an unchosen item into a concer with an unchosen item"
122,"M/I Signpost 1","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of concerns or activities dominating Act 1"
123,"M/I Journey 1","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"as the relationship between the Main Character and the Impact Character develops through Act 1 it grows from a concern with an unchosen item into a concern with an unchosen item"
124,"M/I Signpost 2","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of concerns or activities dominating Act 2"
125,"M/I Journey 2","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"as the relationship between the Main Character and the Impact Character develops through Act 2 it grows from a concern with an unchosen item into a concern with an unchosen item"
126,"M/I Signpost 3","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of concerns or activities dominating Act 3"
127,"M/I Journey 3","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"as the relationship between the Main Character and the Impact Character develops through Act 3 it grows from a concern with an unchosen item into a concern with an unchosen item"
128,"M/I Signpost 4","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"the kind of concerns or activities dominating Act 4"
129,"M/I Journey 4","Main vs. Impact Story Type Order","Plot Points",,"Story Points","dramatica",,"as the relationship between the Main Character and the Impact Character develops through Act 4 it grows from a concern with an unchosen item into a concern with an unchosen item"
130,"MC Backstory","Background","Overview Story Points",,"Story Points","dramatica",,"the occurences from the Main Character's past which account for the personal problems with which she begins the story"
131,"IC Backstory","Background","Overview Story Points",,"Story Points","dramatica",,"the occurences from the Impact Character's past wich account for the motivations with which he begins the story"
132,"M/I Backstory","Background","Overview Story Points",,"Story Points","dramatica",,"the history of the Main Character's and the Impact Character's opposing points of view which accounts for the conflict with which they begin the story"
133,"OS Backstory","Background","Overview Story Points",,"Story Points","dramatica",,"the analytical reasons for how things have come to be as they are for all the story which involves all of your characters"
134,"Master Character Synopsis","Background","Overview Story Points",,"Story Points","dramatica",,"a description of your story as it would appear when seen purely from the perspective of character"
135,"Master Plot Synopsis","Background","Overview Story Points",,"Story Points","dramatica",,"a description of the events of your story as they would appear when seen purely from the perspective of plot"
136,"Master Theme Synopsis","Background","Overview Story Points",,"Story Points","dramatica",,"a description of your story as it would appear when seen purely from the perspective of ist thematic comparison"
137,"Nature","Audience Appreciations","Overview Story Points",,"Story Points","dramatica",,"the seminal dramatic framework of a story's message which indicates if the Main Character makes a proper decidions to Change or Remain Steadfast"
138,"Essence","Audience Appreciations","Overview Story Points",,"Story Points","dramatica",,"the primary dramatic feel of a story"
139,"Tendency","Audience Appreciations","Overview Story Points",,"Story Points","dramatica",,"the degree to which teh Main Character feels compelled to embrace the quest"
140,"Reach","Audience Appreciations","Overview Story Points",,"Story Points","dramatica",,"the manner in which the audience identitfies whit the Main Character"
141,"Knowledge","Fate","The Past","Situation","dramatica classes","dramatica",,"that which one holds to be true."
142,"Order","Fate","The Past","Situation","dramatica classes","dramatica",,"a patterned arrangement. [Element]. The character containing the Order characteristic is concerned with keeping thins organized. Change is not a problem as long as it is orderly. However, sometimes you can't get there from here and the whole system has to be blown apart to rebuilt from the ground up."
143,"Chaos","Fate","The Past","Situation","dramatica classes","dramatica",,
144,"Though","Fate","The Past","Situation","dramatica classes","dramatica",,
145,"Actuality","Prediction","The Past","Situation","dramatica classes","dramatica",,
146,"Inertia","Prediction","The Past","Situation","dramatica classes","dramatica",,
147,"Change","Prediction","The Past","Situation","dramatica classes","dramatica",,
148,"Perception","Prediction","The Past","Situation","dramatica classes","dramatica",,
149,"Ability","Interdiction","The Past","Situation","dramatica classes","dramatica",,
150,"Equity","Interdiction","The Past","Situation","dramatica classes","dramatica",,
151,"Inequity","Interdiction","The Past","Situation","dramatica classes","dramatica",,
152,"Desire","Interdiction","The Past","Situation","dramatica classes","dramatica",,
