"id","cat1","term","description"
"1","2","Dynamics","the ultimate disposition of the Main Character to Change or Remain Steadfast"
"2","3","Main Character","the realm of the Main Character0s personal journey and growth"
"3","3","Impact Character","the general area in which the Impact Character operates"
"4","3","Main vs. Impact Story Throughline","the general area of difficulty between the Main Character and the Impact Character"
"5","1","Main vs. Impact Story Type Order","the kind of concerns or activities dominating Act 1"
